inegi_id,restaurant_name,restaurant_capacity,street_name,ext_number,int_number,coord_long,coord_lat,city
15057722512000632000000000U4,LAS DOS COSTAS,6-10,PARQUE DEL RIO FRIO,14,0,-99.22136513,19.45245831,CDMX
09015722515009521000000000U9,RESTAURANTE CAFETERIA SUSPIRO,0-5,GENERAL BENJAMIN HILL,,,-99.17835270,19.40778813,CDMX
09015722511017841000000000U0,LA NONA LEONOR,0-5,GENERAL BENJAMIN HILL,0,,-99.17835270,19.40778813,CDMX
09015722511013133000000000U6,RESTAURANT BAR PERALTA,6-10,TAMAULIPAS,50,,-99.17287716,19.41246192,CDMX
09015722511017643000000000U0,LA TROMPERIA,11-30,AMBERES,29,,-99.16561601,19.42604775,CDMX
09015812410008431000037878S7,ESTACIONAMIENTO DEL RESTAURANTE LA CASA DE TONO,0-5,SALVADOR DÍAZ MIRÓN,398,,-99.17139673,19.45103140,CDMX
09015722511013761000000000S4,CERVECERIA METZ,11-30,BELGRADO,19,,-99.16542644,19.42690071,CDMX
09016722516000841000000000U6,AKA SUSHI,0-5,INGENIEROS MILITARES,,,-99.21426563,19.45832330,CDMX
09015722511021352000000000U2,HOLY DUNK,6-10,JOAQUIN VELAZQUEZ DE LEON,58,,-99.16569182,19.43951361,CDMX
09015722511022632000000000U6,LA PROSPERIDAD,6-10,DURANGO,215,,-99.16785892,19.41973035,CDMX
09015722511013733000000000U3,BLISS ME,0-5,ATLIXCO,152,0,-99.17639299,19.40919385,CDMX
09015722219029802000000000U8,RESTAURANTE BAR LA NORIA,11-30,AMBERES,24,,-99.16556604,19.42618704,CDMX
09016722518004241000000000U1,COMIDA CORRIDA CUQUITA,0-5,SUR 126,,,-99.20157139,19.40240544,CDMX
09015722517003571000000000U6,AMICIZIA,0-5,JOAQUIN VELAZQUEZ DE LEON,58,0,-99.16567891,19.43956032,CDMX
09016722515004621000000000U0,ANTOJITOS EL COMALITO,0-5,TLALOC,0,0,-99.16721635,19.44413803,CDMX
09016722512001061000000000U9,MERISQUERIA LA RIVERA,0-5,ERASMO CASTELLANOS QUINTO,,,-99.18834165,19.40320172,CDMX
09016722514004961000000000U3,TACOS DE GUISADO,0-5,TLALOC,,,-99.16721219,19.44414493,CDMX
09015722516004693000000000U9,BOBO,11-30,TAMAULIPAS,125,,-99.17551435,19.40987787,CDMX
09015722110005533001006988M8,RAFAELLO ZONA ROSA,0-5,LONDRES,165,,-99.16595314,19.42455645,CDMX
